Month,Closing Values
1-Jan-1950,201.79
1-Feb-1950,203.44
1-Mar-1950,206.05
1-Apr-1950,213.56
1-May-1950,223.42
1-Jun-1950,209.11
1-Jul-1950,209.40
1-Aug-1950,216.87
1-Sep-1950,226.36
1-Oct-1950,225.01
1-Nov-1950,227.60
1-Dec-1950,235.42
1-Jan-1951,248.83
1-Feb-1951,252.05
1-Mar-1951,248.53
1-Apr-1951,259.13
1-May-1951,249.65
1-Jun-1951,242.64
1-Jul-1951,257.86
1-Aug-1951,270.25
1-Sep-1951,271.16
1-Oct-1951,262.35
1-Nov-1951,261.27
1-Dec-1951,269.23
1-Jan-1952,270.69
1-Feb-1952,260.08
1-Mar-1952,269.46
1-Apr-1952,257.63
1-May-1952,262.94
1-Jun-1952,274.26
1-Jul-1952,279.56
1-Aug-1952,275.04
1-Sep-1952,270.61
1-Oct-1952,269.23
1-Nov-1952,283.66
1-Dec-1952,291.90
1-Jan-1953,289.77
1-Feb-1953,284.27
1-Mar-1953,279.87
1-Apr-1953,274.75
1-May-1953,272.28
1-Jun-1953,268.26
1-Jul-1953,275.38
1-Aug-1953,261.22
1-Sep-1953,264.04
1-Oct-1953,275.81
1-Nov-1953,281.37
1-Dec-1953,280.90
1-Jan-1954,292.39
1-Feb-1954,294.54
1-Mar-1954,303.51
1-Apr-1954,319.33
1-May-1954,327.49
1-Jun-1954,333.53
1-Jul-1954,347.92
1-Aug-1954,335.80
1-Sep-1954,360.46
1-Oct-1954,352.14
1-Nov-1954,386.77
1-Dec-1954,404.39
1-Jan-1955,408.83
1-Feb-1955,411.87
1-Mar-1955,409.70
1-Apr-1955,425.65
1-May-1955,424.86
1-Jun-1955,451.38
1-Jul-1955,465.85
1-Aug-1955,468.18
1-Sep-1955,466.62
1-Oct-1955,454.87
1-Nov-1955,483.26
1-Dec-1955,488.40
1-Jan-1956,470.74
1-Feb-1956,483.65
1-Mar-1956,511.79
1-Apr-1956,516.12
1-May-1956,478.05
1-Jun-1956,492.78
1-Jul-1956,517.81
1-Aug-1956,502.04
1-Sep-1956,475.25
1-Oct-1956,479.85
1-Nov-1956,472.78
1-Dec-1956,499.47
1-Jan-1957,479.16
1-Feb-1957,464.62
1-Mar-1957,474.81
1-Apr-1957,494.36
1-May-1957,504.93
1-Jun-1957,503.29
1-Jul-1957,508.52
1-Aug-1957,484.35
1-Sep-1957,456.30
1-Oct-1957,441.04
1-Nov-1957,449.87
1-Dec-1957,435.69
1-Jan-1958,450.02
1-Feb-1958,439.92
1-Mar-1958,446.76
1-Apr-1958,455.86
1-May-1958,462.70
1-Jun-1958,478.18
1-Jul-1958,502.99
1-Aug-1958,508.63
1-Sep-1958,532.09
1-Oct-1958,543.22
1-Nov-1958,557.46
1-Dec-1958,583.65
1-Jan-1959,593.96
1-Feb-1959,603.50
1-Mar-1959,601.71
1-Apr-1959,623.75
1-May-1959,643.79
1-Jun-1959,643.60
1-Jul-1959,674.88
1-Aug-1959,664.41
1-Sep-1959,631.68
1-Oct-1959,646.60
1-Nov-1959,659.18
1-Dec-1959,679.36
1-Jan-1960,622.62
1-Feb-1960,630.12
1-Mar-1960,616.59
1-Apr-1960,601.70
1-May-1960,625.50
1-Jun-1960,640.62
1-Jul-1960,616.73
1-Aug-1960,625.99
1-Sep-1960,580.14
1-Oct-1960,580.36
1-Nov-1960,597.22
1-Dec-1960,615.89
1-Jan-1961,648.20
1-Feb-1961,662.08
1-Mar-1961,676.63
1-Apr-1961,678.71
1-May-1961,696.72
1-Jun-1961,683.96
1-Jul-1961,705.37
1-Aug-1961,719.94
1-Sep-1961,701.21
1-Oct-1961,703.92
1-Nov-1961,721.60
1-Dec-1961,731.14
1-Jan-1962,700.00
1-Feb-1962,708.05
1-Mar-1962,706.95
1-Apr-1962,665.33
1-May-1962,613.36
1-Jun-1962,561.28
1-Jul-1962,597.93
1-Aug-1962,609.18
1-Sep-1962,578.98
1-Oct-1962,589.77
1-Nov-1962,649.30
1-Dec-1962,652.10
1-Jan-1963,682.85
1-Feb-1963,662.94
1-Mar-1963,682.52
1-Apr-1963,717.70
1-May-1963,726.96
1-Jun-1963,706.88
1-Jul-1963,695.43
1-Aug-1963,729.32
1-Sep-1963,732.79
1-Oct-1963,755.23
1-Nov-1963,750.52
